[07:40:45] Step 5555 | Total: 2.3177 | CDS: 2.0829
[07:41:00] Step 5560 | Total: 2.3134 | CDS: 2.1015
[07:41:15] Step 5565 | Total: 2.5278 | CDS: 2.2208
[07:41:30] Step 5570 | Total: 2.3406 | CDS: 2.1082
[07:41:45] Step 5575 | Total: 2.5463 | CDS: 2.3017
[07:42:01] Step 5580 | Total: 2.5398 | CDS: 2.3414
[07:42:16] Step 5585 | Total: 2.4371 | CDS: 2.1704
[07:42:31] Step 5590 | Total: 2.2227 | CDS: 2.0811
[07:42:46] Step 5595 | Total: 2.5478 | CDS: 2.3288
[07:43:01] Step 5600 | Total: 2.3617 | CDS: 2.0675
[07:43:17] Step 5605 | Total: 2.6831 | CDS: 2.4853
[07:43:32] Step 5610 | Total: 2.3020 | CDS: 2.1173
[07:43:47] Step 5615 | Total: 2.3372 | CDS: 2.0917
[07:44:02] Step 5620 | Total: 2.4614 | CDS: 2.2695
[07:44:18] Step 5625 | Total: 2.2147 | CDS: 1.9879
[07:44:33] Step 5630 | Total: 2.1530 | CDS: 2.0076
[07:44:48] Step 5635 | Total: 2.8592 | CDS: 2.6114
[07:45:03] Step 5640 | Total: 2.4735 | CDS: 2.2322
[07:45:18] Step 5645 | Total: 2.1885 | CDS: 2.0638
[07:45:34] Step 5650 | Total: 2.2076 | CDS: 2.0539
[07:45:49] Step 5655 | Total: 2.4022 | CDS: 2.1860
[07:46:04] Step 5660 | Total: 2.7603 | CDS: 2.5044
[07:46:19] Step 5665 | Total: 2.6300 | CDS: 2.4466
[07:46:34] Step 5670 | Total: 2.4775 | CDS: 2.2231
[07:46:50] Step 5675 | Total: 2.7308 | CDS: 2.5142
[07:47:05] Step 5680 | Total: 2.4366 | CDS: 2.1752
[07:47:20] Step 5685 | Total: 2.8202 | CDS: 2.4205
[07:47:35] Step 5690 | Total: 2.3895 | CDS: 2.1793
[07:47:50] Step 5695 | Total: 2.3485 | CDS: 2.1731
[07:48:06] Step 5700 | Total: 2.2369 | CDS: 2.0686
[07:48:07] 💾 Full checkpoint saved at Epoch 4, Step 5700, Batch 1759
[07:48:22] Step 5705 | Total: 2.2900 | CDS: 2.1116
[07:48:37] Step 5710 | Total: 2.3315 | CDS: 2.0870
